code,usernname,studied,group,date,age,province,country,s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s1_7,s1_8,s1_9,s1_10,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,pre9,pre10,pre1Grade,pre2Grade,pre3Grade,pre4Grade,pre5Grade,pre6Grade,pre7Grade,pre8Grade,pre9Grade,pre10Grade,preGrades,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post1grade,post2grade,post3grade,post4grade,post5grade,post6grade,post7grade,post8grade,post9grade,post10grade,postGrades,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,s2_13,s2_14,s2_15,s2_16,s2_17,s2_18,s2_19,s2_20
MU3Sec136,username036,1,Experiment,18-Aug-23,19,Nonthaburi,Thailand,4,4,4,4,4,4,4,4,4,4,A,A,A,A,B,D,B,B,A,C,0,0,1,0,1,1,1,0,0,0,4,B,B,A,D,C,C,D,C,A,C,1,1,0,0,1,0,1,0,0,1,5,3,2,5,1,1,5,3,1,4,1,2,4,1,,#REF!,#REF!,3,,,
MU3Sec137,username037,1,Control,18-Aug-23,19,Nakorn Pathom,Thailand,4,4,3,3,4,4,4,3,4,4,A,C,A,D,D,B,B,A,D,B,0,1,1,1,0,0,1,1,0,1,6,D,A,B,D,C,C,B,A,B,A,0,0,1,1,0,0,0,1,0,0,3,4,1,3,4,3,2,5,4,2,1,2,4,7,,#REF!,#REF!,1,,,
MU3Sec139,username039,1,Control,18-Aug-23,19,Nonthaburi,Thailand,4,4,3,4,5,4,4,4,4,5,D,C,C,D,A,B,B,B,A,B,1,1,0,1,0,0,1,0,0,1,5,C,B,B,C,A,B,C,B,B,C,0,1,1,1,0,1,0,1,0,1,6,5,5,2,2,3,2,1,2,2,1,2,4,3,,#REF!,#REF!,3,,,
MU3Sec140,username040,1,Experiment,18-Aug-23,18,Bangkok,Thailand,4,4,4,4,5,4,4,4,5,4,D,C,A,C,B,B,B,A,A,D,1,1,1,0,1,0,1,1,0,0,6,A,B,B,D,C,B,C,C,A,A,0,1,0,1,0,0,0,1,0,0,3,1,4,5,5,1,1,2,4,5,1,2,2,3,,#REF!,#REF!,2,,,
MU3Sec141,username041,1,Control,18-Aug-23,19,Nakorn Pathom,Thailand,4,4,4,4,4,4,3,4,3,4,D,D,B,D,A,D,B,C,B,D,1,0,0,1,0,1,1,0,1,0,5,B,A,B,D,D,D,A,C,D,C,1,0,0,1,0,1,1,0,0,0,4,1,1,1,4,5,4,5,1,4,1,2,4,5,,#REF!,#REF!,5,,,
MU3Sec142,username042,1,Experiment,18-Aug-23,19,Bangkok,Thailand,3,4,4,4,3,4,4,4,4,4,A,D,C,C,B,B,B,A,A,B,0,0,0,0,1,0,1,1,0,1,4,A,B,D,C,D,A,B,A,A,D,1,0,1,0,0,0,0,1,0,0,3,3,2,1,5,1,3,2,5,3,1,2,3,4,,#REF!,#REF!,5,,,
MU3Sec144,username044,1,Experiment,18-Aug-23,18,Bangkok,Thailand,4,3,4,4,3,4,3,3,4,4,C,B,A,D,A,B,B,C,C,B,0,0,1,1,0,0,1,0,0,1,4,B,C,B,C,C,B,A,C,A,A,0,0,1,1,1,1,1,0,0,1,6,4,3,5,3,1,2,5,2,2,1,2,3,6,,#REF!,#REF!,1,,,
MU3Sec145,username045,1,Control,18-Aug-23,19,Nonthaburi,Thailand,4,4,3,4,4,3,4,4,3,4,B,C,C,D,A,A,A,C,A,C,0,1,0,1,0,0,0,0,0,0,2,A,A,D,C,B,B,D,C,A,D,0,0,1,1,0,1,1,1,0,1,6,3,4,4,4,4,2,5,3,2,1,2,2,3,,#REF!,#REF!,3,,,
MU3Sec146,username046,1,Experiment,18-Aug-23,,,Thailand,4,5,5,5,5,5,5,5,5,5,C,B,C,C,A,B,C,B,C,C,0,0,0,0,0,0,0,0,0,0,0,D,C,C,B,B,A,C,B,B,A,1,0,0,1,0,1,0,1,0,1,5,3,2,4,2,2,5,4,1,3,1,2,1,4,,#REF!,#REF!,3,,,
MU3Sec149,username049,1,Control,18-Aug-23,19,Bangkok,Thailand,4,3,3,3,3,3,3,3,3,3,A,C,A,D,B,D,C,A,B,B,0,1,1,1,1,1,0,1,1,1,8,D,C,C,D,A,D,B,B,C,A,1,1,1,1,0,1,1,1,1,0,8,3,2,2,4,5,1,2,5,2,1,2,4,3,,#REF!,#REF!,5,,,
MU3Sec150,username050,1,Experiment,18-Aug-23,22,Bangkok,Thailand,3,3,3,3,3,3,3,3,3,3,D,C,A,D,B,D,D,A,B,B,1,1,1,1,1,1,0,1,1,1,9,B,D,A,A,D,B,D,B,D,B,1,1,1,1,0,1,0,0,0,0,5,5,1,4,3,5,3,2,2,3,1,2,3,6,,#REF!,#REF!,1,,,
MU3Sec153,username053,1,Control,18-Aug-23,19,Bangkok,Thailand,4,5,4,4,5,5,5,5,5,4,A,C,A,C,C,D,C,B,B,B,0,1,1,0,0,1,0,0,1,1,5,D,C,C,D,D,A,B,D,D,A,1,0,0,0,0,1,1,0,0,1,4,3,2,1,2,1,2,2,3,5,1,2,1,3,,#REF!,#REF!,2,,,
